#Version RTG Tools 3.8.4 / Core bdba5ea (2017-09-19), ROC output 1.1
#CL vcfeval --baseline=HG001_GRCh37_GIAB_highconf_CG-IllFB-IllGATKHC-Ion-10X-SOLID_CHROM1-X_v.3.3.2_highconf_PGandRTGphasetransfer.vcf.gz --bed-regions=HG001_GRCh37_GIAB_highconf_CG-IllFB-IllGATKHC-Ion-10X-SOLID_CHROM1-X_v.3.3.2_highconf_nosomaticdel.bed --calls=ema_out.final.reformat.vcf.gz --threads=1 --output=ema_out_final --template=hg19_new.sdf
#total baseline variants: 3691156
#total call variants: 3969798
#score field: GQ (FORMAT)
#score	true_positives_baseline	false_positives	true_positives_call	false_negatives	precision	sensitivity	f_measure
99.000	2265318.83	70741.00	2265324.00	1425837.17	0.9697	0.6137	0.7517
98.000	2269519.83	71361.00	2269525.00	1421636.17	0.9695	0.6149	0.7525
97.000	2271338.83	71959.00	2271344.00	1419817.17	0.9693	0.6153	0.7528
96.000	2302689.33	76113.00	2302697.00	1388466.67	0.9680	0.6238	0.7587
95.000	2307236.83	76917.00	2307245.00	1383919.17	0.9677	0.6251	0.7595
94.000	2309072.33	77601.00	2309080.00	1382083.67	0.9675	0.6256	0.7598
93.000	2345444.17	81972.00	2345454.00	1345711.83	0.9662	0.6354	0.7667
92.000	2350313.17	82819.00	2350323.00	1340842.83	0.9660	0.6367	0.7675
91.000	2352108.17	83526.00	2352117.00	1339047.83	0.9657	0.6372	0.7678
90.000	2393977.17	88202.00	2393990.00	1297178.83	0.9645	0.6486	0.7756
89.000	2399085.17	89212.00	2399098.00	1292070.83	0.9641	0.6500	0.7765
88.000	2400845.17	90096.00	2400858.00	1290310.83	0.9638	0.6504	0.7767
87.000	2447940.83	95336.00	2447955.00	1243215.17	0.9625	0.6632	0.7853
86.000	2453417.83	96434.00	2453432.00	1237738.17	0.9622	0.6647	0.7862
85.000	2455233.83	97342.00	2455248.00	1235922.17	0.9619	0.6652	0.7865
84.000	2508219.50	103115.00	2508233.00	1182936.50	0.9605	0.6795	0.7959
83.000	2513795.50	104276.00	2513809.00	1177360.50	0.9602	0.6810	0.7969
82.000	2515440.50	105244.00	2515454.00	1175715.50	0.9598	0.6815	0.7971
81.000	2574019.00	111640.00	2574034.00	1117137.00	0.9584	0.6973	0.8073
80.000	2579940.00	112979.00	2579955.00	1111216.00	0.9580	0.6990	0.8082
79.000	2581537.00	114091.00	2581552.00	1109619.00	0.9577	0.6994	0.8084
78.000	2645208.13	120812.00	2645227.00	1045947.87	0.9563	0.7166	0.8193
77.000	2651345.13	122306.00	2651364.00	1039810.87	0.9559	0.7183	0.8202
76.000	2652961.13	123571.00	2652980.00	1038194.87	0.9555	0.7187	0.8204
75.000	2721438.77	131154.00	2721464.00	969717.23	0.9540	0.7373	0.8318
74.000	2727474.77	132854.00	2727500.00	963681.23	0.9536	0.7389	0.8326
73.000	2729160.77	134263.00	2729185.00	961995.23	0.9531	0.7394	0.8327
72.000	2801489.93	142441.00	2801516.00	889666.07	0.9516	0.7590	0.8444
71.000	2807888.93	144278.00	2807915.00	883267.07	0.9511	0.7607	0.8453
70.000	2809493.93	145897.00	2809520.00	881662.07	0.9506	0.7611	0.8454
69.000	2883587.77	154559.00	2883626.00	807568.23	0.9491	0.7812	0.8570
68.000	2889764.27	156637.00	2889803.00	801391.73	0.9486	0.7829	0.8578
67.000	2891423.27	158380.00	2891462.00	799732.73	0.9481	0.7833	0.8579
66.000	2966287.10	167848.00	2966334.00	724868.90	0.9464	0.8036	0.8692
65.000	2972247.10	170201.00	2972294.00	718908.90	0.9458	0.8052	0.8699
64.000	2973863.10	172208.00	2973910.00	717292.90	0.9453	0.8057	0.8699
63.000	3047942.93	182629.00	3047995.00	643213.07	0.9435	0.8257	0.8807
62.000	3053678.43	185113.00	3053731.00	637477.57	0.9428	0.8273	0.8813
61.000	3055383.43	187228.00	3055436.00	635772.57	0.9423	0.8278	0.8813
60.000	3126894.23	198403.00	3126954.00	564261.77	0.9403	0.8471	0.8913
59.000	3132191.73	201222.00	3132252.00	558964.27	0.9396	0.8486	0.8918
58.000	3133891.73	203571.00	3133952.00	557264.27	0.9390	0.8490	0.8918
57.000	3200805.63	215911.00	3200867.00	490350.37	0.9368	0.8672	0.9006
56.000	3205699.63	219046.00	3205762.00	485456.37	0.9360	0.8685	0.9010
55.000	3207382.63	221759.00	3207445.00	483773.37	0.9353	0.8689	0.9009
54.000	3269016.30	235467.00	3269088.00	422139.70	0.9328	0.8856	0.9086
53.000	3273569.30	239038.00	3273641.00	417586.70	0.9319	0.8869	0.9089
52.000	3275214.30	242160.00	3275285.00	415941.70	0.9312	0.8873	0.9087
51.000	3329828.30	257513.00	3329905.00	361327.70	0.9282	0.9021	0.9150
50.000	3333904.30	261413.00	3333980.00	357251.70	0.9273	0.9032	0.9151
49.000	3335468.30	264976.00	3335544.00	355687.70	0.9264	0.9036	0.9149
48.000	3383213.80	282280.00	3383293.00	307942.20	0.9230	0.9166	0.9198
47.000	3386874.80	286563.00	3386954.00	304281.20	0.9220	0.9176	0.9198
46.000	3388271.80	287201.00	3388351.00	302884.20	0.9219	0.9179	0.9199
45.000	3429046.80	296743.00	3429124.00	262109.20	0.9204	0.9290	0.9247
44.000	3432165.80	297436.00	3432243.00	258990.20	0.9203	0.9298	0.9250
43.000	3433626.30	298175.00	3433704.00	257529.70	0.9201	0.9302	0.9251
42.000	3467339.30	308689.00	3467421.00	223816.70	0.9183	0.9394	0.9287
41.000	3470119.30	309532.00	3470201.00	221036.70	0.9181	0.9401	0.9290
40.000	3471482.30	310374.00	3471564.00	219673.70	0.9179	0.9405	0.9291
39.000	3498339.40	321796.00	3498427.00	192816.60	0.9158	0.9478	0.9315
38.000	3500735.90	322700.00	3500824.00	190420.10	0.9156	0.9484	0.9317
37.000	3502075.90	323173.00	3502164.00	189080.10	0.9155	0.9488	0.9318
36.000	3523177.70	323839.00	3523265.00	167978.30	0.9158	0.9545	0.9348
35.000	3525310.70	324375.00	3525397.00	165845.30	0.9157	0.9551	0.9350
34.000	3526618.70	324933.00	3526705.00	164537.30	0.9156	0.9554	0.9351
33.000	3542754.00	325588.00	3542841.00	148402.00	0.9158	0.9598	0.9373
32.000	3544760.00	326159.00	3544847.00	146396.00	0.9157	0.9603	0.9375
31.000	3546060.00	326723.00	3546147.00	145096.00	0.9156	0.9607	0.9376
30.000	3558353.00	327472.00	3558442.00	132803.00	0.9157	0.9640	0.9393
29.000	3560038.00	328141.00	3560127.00	131118.00	0.9156	0.9645	0.9394
28.000	3561333.00	328791.00	3561422.00	129823.00	0.9155	0.9648	0.9395
27.000	3570429.33	329656.00	3570517.00	120726.67	0.9155	0.9673	0.9407
26.000	3572007.33	330304.00	3572094.00	119148.67	0.9154	0.9677	0.9408
25.000	3573310.33	330946.00	3573397.00	117845.67	0.9152	0.9681	0.9409
24.000	3579986.33	331849.00	3580074.00	111169.67	0.9152	0.9699	0.9417
23.000	3581496.33	332654.00	3581584.00	109659.67	0.9150	0.9703	0.9418
22.000	3582685.33	333343.00	3582773.00	108470.67	0.9149	0.9706	0.9419
21.000	3587343.50	334367.00	3587430.00	103812.50	0.9147	0.9719	0.9424
20.000	3588706.50	335283.00	3588793.00	102449.50	0.9146	0.9722	0.9425
19.000	3589944.50	336022.00	3590031.00	101211.50	0.9144	0.9726	0.9426
18.000	3593380.00	337121.00	3593469.00	97776.00	0.9142	0.9735	0.9429
17.000	3594644.00	338036.00	3594733.00	96512.00	0.9140	0.9739	0.9430
16.000	3595892.00	338918.00	3595981.00	95264.00	0.9139	0.9742	0.9431
15.000	3598555.00	340108.00	3598643.00	92601.00	0.9137	0.9749	0.9433
14.000	3599706.00	341054.00	3599794.00	91450.00	0.9135	0.9752	0.9433
13.000	3600899.00	341903.00	3600987.00	90257.00	0.9133	0.9755	0.9434
12.000	3602879.00	343145.00	3602967.00	88277.00	0.9130	0.9761	0.9435
11.000	3603945.00	344123.00	3604033.00	87211.00	0.9128	0.9764	0.9435
10.000	3605036.00	345013.00	3605124.00	86120.00	0.9127	0.9767	0.9436
9.000	3606719.00	346340.00	3606807.00	84437.00	0.9124	0.9771	0.9436
8.000	3607718.00	347445.00	3607806.00	83438.00	0.9122	0.9774	0.9436
7.000	3608780.00	348352.00	3608868.00	82376.00	0.9120	0.9777	0.9437
6.000	3610078.00	349619.00	3610166.00	81078.00	0.9117	0.9780	0.9437
5.000	3610983.00	350686.00	3611071.00	80173.00	0.9115	0.9783	0.9437
4.000	3611964.00	351602.00	3612052.00	79192.00	0.9113	0.9785	0.9437
3.000	3613050.00	352775.00	3613137.00	78106.00	0.9110	0.9788	0.9437
2.000	3613876.00	353888.00	3613963.00	77280.00	0.9108	0.9791	0.9437
1.000	3614882.00	354829.00	3614969.00	76274.00	0.9106	0.9793	0.9437
