#Version RTG Tools 3.8.4 / Core bdba5ea (2017-09-19), ROC output 1.1
#CL vcfeval --baseline=HG001_GRCh37_GIAB_highconf_CG-IllFB-IllGATKHC-Ion-10X-SOLID_CHROM1-X_v.3.3.2_highconf_PGandRTGphasetransfer.vcf.gz --evaluation-regions=HG001_GRCh37_GIAB_highconf_CG-IllFB-IllGATKHC-Ion-10X-SOLID_CHROM1-X_v.3.3.2_highconf_nosomaticdel.bed --calls=lr_out.reformat.vcf.gz --threads=1 --output=lr_out --template=hg19_new.sdf --output-mode=roc-only --no-gzip
#total baseline variants: 3690861
#total call variants: 4120794
#score field: GQ (FORMAT)
#score	true_positives_baseline	false_positives	true_positives_call	false_negatives	precision	sensitivity	f_measure
99.000	2309295.33	119341.00	2309314.00	1381565.67	0.9509	0.6257	0.7547
98.000	2314132.33	120226.00	2314151.00	1376728.67	0.9506	0.6270	0.7556
97.000	2315886.83	120958.00	2315905.00	1374974.17	0.9504	0.6275	0.7559
96.000	2350987.83	127793.00	2351001.00	1339873.17	0.9484	0.6370	0.7621
95.000	2356371.83	128756.00	2356385.00	1334489.17	0.9482	0.6384	0.7631
94.000	2358199.83	129570.00	2358213.00	1332661.17	0.9479	0.6389	0.7633
93.000	2398631.83	136872.00	2398645.00	1292229.17	0.9460	0.6499	0.7705
92.000	2404332.83	137926.00	2404346.00	1286528.17	0.9457	0.6514	0.7715
91.000	2406073.33	138816.00	2406086.00	1284787.67	0.9455	0.6519	0.7717
90.000	2451214.33	146800.00	2451233.00	1239646.67	0.9435	0.6641	0.7795
89.000	2457261.33	147992.00	2457280.00	1233599.67	0.9432	0.6658	0.7806
88.000	2459031.33	149013.00	2459050.00	1231829.67	0.9429	0.6662	0.7808
87.000	2509526.67	157597.00	2509547.00	1181334.33	0.9409	0.6799	0.7894
86.000	2515977.67	158910.00	2515998.00	1174883.33	0.9406	0.6817	0.7905
85.000	2517768.67	159970.00	2517789.00	1173092.33	0.9403	0.6822	0.7907
84.000	2573159.83	169162.00	2573178.00	1117701.17	0.9383	0.6972	0.8000
83.000	2579757.83	170638.00	2579776.00	1111103.17	0.9380	0.6990	0.8010
82.000	2581395.83	171809.00	2581414.00	1109465.17	0.9376	0.6994	0.8012
81.000	2641615.00	181561.00	2641639.00	1049246.00	0.9357	0.7157	0.8111
80.000	2648312.00	183150.00	2648336.00	1042549.00	0.9353	0.7175	0.8121
79.000	2649927.00	184375.00	2649951.00	1040934.00	0.9349	0.7180	0.8122
78.000	2714739.97	194794.00	2714776.00	976121.03	0.9331	0.7355	0.8226
77.000	2721665.97	196625.00	2721702.00	969195.03	0.9326	0.7374	0.8236
76.000	2723382.97	198058.00	2723419.00	967478.03	0.9322	0.7379	0.8237
75.000	2791339.17	209445.00	2791387.00	899521.83	0.9302	0.7563	0.8343
74.000	2798179.17	211574.00	2798227.00	892681.83	0.9297	0.7581	0.8352
73.000	2799904.17	213154.00	2799952.00	890956.83	0.9293	0.7586	0.8353
72.000	2870110.23	225479.00	2870163.00	820750.77	0.9272	0.7776	0.8458
71.000	2876998.23	227821.00	2877051.00	813862.77	0.9266	0.7795	0.8467
70.000	2878707.23	229686.00	2878760.00	812153.77	0.9261	0.7800	0.8468
69.000	2949864.33	243048.00	2949925.00	740996.67	0.9239	0.7992	0.8570
68.000	2956502.33	245522.00	2956563.00	734358.67	0.9233	0.8010	0.8578
67.000	2958186.83	247565.00	2958248.00	732674.17	0.9228	0.8015	0.8579
66.000	3028513.77	262218.00	3028574.00	662347.23	0.9203	0.8205	0.8676
65.000	3034880.77	265009.00	3034942.00	655980.23	0.9197	0.8223	0.8683
64.000	3036567.77	267259.00	3036629.00	654293.23	0.9191	0.8227	0.8683
63.000	3104837.23	283092.00	3104905.00	586023.77	0.9164	0.8412	0.8772
62.000	3110708.73	286032.00	3110778.00	580152.27	0.9158	0.8428	0.8778
61.000	3112388.73	288512.00	3112458.00	578472.27	0.9152	0.8433	0.8777
60.000	3177160.57	305727.00	3177237.00	513700.43	0.9122	0.8608	0.8858
59.000	3182705.57	309035.00	3182782.00	508155.43	0.9115	0.8623	0.8862
58.000	3184419.57	311733.00	3184496.00	506441.43	0.9108	0.8628	0.8862
57.000	3244139.90	330395.00	3244225.00	446721.10	0.9076	0.8790	0.8930
56.000	3249137.90	334115.00	3249224.00	441723.10	0.9068	0.8803	0.8933
55.000	3250816.90	337143.00	3250903.00	440044.10	0.9060	0.8808	0.8932
54.000	3305338.90	357695.00	3305428.00	385522.10	0.9024	0.8955	0.8989
53.000	3309935.90	361750.00	3310025.00	380925.10	0.9015	0.8968	0.8991
52.000	3311576.90	365149.00	3311665.00	379284.10	0.9007	0.8972	0.8990
51.000	3359067.40	388106.00	3359154.00	331793.60	0.8964	0.9101	0.9032
50.000	3363143.90	392534.00	3363230.00	327717.10	0.8955	0.9112	0.9033
49.000	3364772.90	396274.00	3364859.00	326088.10	0.8946	0.9116	0.9031
48.000	3406408.50	421374.00	3406502.00	284452.50	0.8899	0.9229	0.9061
47.000	3410097.00	426279.00	3410191.00	280764.00	0.8889	0.9239	0.9061
46.000	3411547.50	427041.00	3411642.00	279313.50	0.8888	0.9243	0.9062
45.000	3446208.00	440440.00	3446307.00	244653.00	0.8867	0.9337	0.9096
44.000	3449248.50	441301.00	3449347.00	241612.50	0.8866	0.9345	0.9099
43.000	3450729.50	442216.00	3450828.00	240131.50	0.8864	0.9349	0.9100
42.000	3479195.50	456854.00	3479296.00	211665.50	0.8839	0.9427	0.9123
41.000	3481863.00	457819.00	3481964.00	208998.00	0.8838	0.9434	0.9126
40.000	3483281.00	458809.00	3483382.00	207580.00	0.8836	0.9438	0.9127
39.000	3506268.00	474126.00	3506372.00	184593.00	0.8809	0.9500	0.9141
38.000	3508634.00	475242.00	3508738.00	182227.00	0.8807	0.9506	0.9143
37.000	3509944.00	475742.00	3510048.00	180917.00	0.8806	0.9510	0.9145
36.000	3527807.00	476430.00	3527909.00	163054.00	0.8810	0.9558	0.9169
35.000	3529825.00	476930.00	3529926.00	161036.00	0.8810	0.9564	0.9171
34.000	3531139.00	477497.00	3531240.00	159722.00	0.8809	0.9567	0.9172
33.000	3545100.00	478195.00	3545204.00	145761.00	0.8811	0.9605	0.9191
32.000	3547005.00	478773.00	3547109.00	143856.00	0.8811	0.9610	0.9193
31.000	3548286.00	479326.00	3548390.00	142575.00	0.8810	0.9614	0.9194
30.000	3558909.00	480088.00	3559013.00	131952.00	0.8811	0.9642	0.9208
29.000	3560595.00	480735.00	3560699.00	130266.00	0.8810	0.9647	0.9210
28.000	3561847.00	481362.00	3561951.00	129014.00	0.8809	0.9650	0.9211
27.000	3569846.00	482215.00	3569947.00	121015.00	0.8810	0.9672	0.9221
26.000	3571370.00	482898.00	3571471.00	119491.00	0.8809	0.9676	0.9222
25.000	3572625.00	483531.00	3572725.00	118236.00	0.8808	0.9680	0.9223
24.000	3578644.00	484547.00	3578744.00	112217.00	0.8808	0.9696	0.9230
23.000	3580107.00	485320.00	3580207.00	110754.00	0.8806	0.9700	0.9232
22.000	3581313.00	486040.00	3581413.00	109548.00	0.8805	0.9703	0.9232
21.000	3585810.00	487051.00	3585910.00	105051.00	0.8804	0.9715	0.9237
20.000	3587156.00	487910.00	3587256.00	103705.00	0.8803	0.9719	0.9238
19.000	3588320.00	488603.00	3588420.00	102541.00	0.8802	0.9722	0.9239
18.000	3591641.00	489793.00	3591741.00	99220.00	0.8800	0.9731	0.9242
17.000	3592874.00	490684.00	3592973.00	97987.00	0.8798	0.9735	0.9243
16.000	3594035.00	491496.00	3594134.00	96826.00	0.8797	0.9738	0.9243
15.000	3596657.00	492691.00	3596755.00	94204.00	0.8795	0.9745	0.9246
14.000	3597783.00	493600.00	3597881.00	93078.00	0.8794	0.9748	0.9246
13.000	3598897.00	494476.00	3598995.00	91964.00	0.8792	0.9751	0.9247
12.000	3601028.00	495769.00	3601126.00	89833.00	0.8790	0.9757	0.9248
11.000	3602111.00	496728.00	3602209.00	88750.00	0.8788	0.9760	0.9248
10.000	3603143.00	497588.00	3603241.00	87718.00	0.8787	0.9762	0.9249
9.000	3604903.00	498928.00	3605001.00	85958.00	0.8784	0.9767	0.9250
8.000	3605916.00	500030.00	3606014.00	84945.00	0.8782	0.9770	0.9250
7.000	3606895.00	500940.00	3606993.00	83966.00	0.8781	0.9773	0.9250
6.000	3608290.00	502270.00	3608388.00	82571.00	0.8778	0.9776	0.9250
5.000	3609221.00	503328.00	3609319.00	81640.00	0.8776	0.9779	0.9250
4.000	3610200.00	504239.00	3610298.00	80661.00	0.8774	0.9781	0.9251
3.000	3611359.00	505450.00	3611456.00	79502.00	0.8772	0.9785	0.9251
2.000	3612207.00	506576.00	3612304.00	78654.00	0.8770	0.9787	0.9251
