#Version RTG Tools 3.8.4 / Core bdba5ea (2017-09-19), ROC output 1.1
#CL vcfeval --baseline=HG002_GRCh37_GIAB_highconf_CG-IllFB-IllGATKHC-Ion-10X-SOLID_CHROM1-22_v.3.3.2_highconf_triophased.vcf.gz --bed-regions=HG002_GRCh37_GIAB_highconf_CG-IllFB-IllGATKHC-Ion-10X-SOLID_CHROM1-22_v.3.3.2_highconf_noinconsistent.bed --calls=bwa_out.reformat.vcf.gz --threads=1 --output=bwa_out --template=../hg19_new.sdf
#total baseline variants: 3512601
#total call variants: 3914760
#score field: GQ (FORMAT)
#score	true_positives_baseline	false_positives	true_positives_call	false_negatives	precision	sensitivity	f_measure
99.000	1944976.33	76003.00	1944991.00	1567624.67	0.9624	0.5537	0.7030
98.000	1949515.33	76922.00	1949530.00	1563085.67	0.9620	0.5550	0.7039
97.000	1953213.33	77709.00	1953228.00	1559387.67	0.9617	0.5561	0.7047
96.000	1965708.33	82878.00	1965726.00	1546892.67	0.9595	0.5596	0.7069
95.000	1970258.00	83992.00	1970277.00	1542343.00	0.9591	0.5609	0.7079
94.000	1973881.00	84865.00	1973900.00	1538720.00	0.9588	0.5619	0.7086
93.000	1987914.50	90741.00	1987934.00	1524686.50	0.9563	0.5659	0.7111
92.000	1992648.50	91929.00	1992668.00	1519952.50	0.9559	0.5673	0.7120
91.000	1996004.50	92915.00	1996024.00	1516596.50	0.9555	0.5682	0.7127
90.000	2012304.17	99984.00	2012325.00	1500296.83	0.9527	0.5729	0.7155
89.000	2017178.17	101348.00	2017199.00	1495422.83	0.9522	0.5743	0.7164
88.000	2020386.17	102454.00	2020405.00	1492214.83	0.9517	0.5752	0.7170
87.000	2039466.17	110428.00	2039486.00	1473134.83	0.9486	0.5806	0.7203
86.000	2044777.17	111987.00	2044797.00	1467823.83	0.9481	0.5821	0.7213
85.000	2047871.17	113315.00	2047891.00	1464729.83	0.9476	0.5830	0.7219
84.000	2070302.83	122250.00	2070325.00	1442298.17	0.9442	0.5894	0.7258
83.000	2075753.83	123931.00	2075776.00	1436847.17	0.9437	0.5909	0.7268
82.000	2078575.83	125332.00	2078598.00	1434025.17	0.9431	0.5917	0.7272
81.000	2105267.33	134769.00	2105290.00	1407333.67	0.9398	0.5993	0.7319
80.000	2111157.83	136652.00	2111181.00	1401443.17	0.9392	0.6010	0.7330
79.000	2113928.33	138323.00	2113952.00	1398672.67	0.9386	0.6018	0.7334
78.000	2146522.17	148492.00	2146547.00	1366078.83	0.9353	0.6111	0.7392
77.000	2153049.17	150712.00	2153074.00	1359551.83	0.9346	0.6130	0.7403
76.000	2155806.17	152622.00	2155831.00	1356794.83	0.9339	0.6137	0.7407
75.000	2194914.75	163789.00	2194939.00	1317686.25	0.9306	0.6249	0.7477
74.000	2201822.75	166160.00	2201847.00	1310778.25	0.9298	0.6268	0.7488
73.000	2204596.75	168457.00	2204621.00	1308004.25	0.9290	0.6276	0.7491
72.000	2250587.92	180399.00	2250611.00	1262013.08	0.9258	0.6407	0.7573
71.000	2258023.92	183089.00	2258047.00	1254577.08	0.9250	0.6428	0.7585
70.000	2260858.92	185586.00	2260882.00	1251742.08	0.9241	0.6436	0.7588
69.000	2313516.42	198117.00	2313544.00	1199084.58	0.9211	0.6586	0.7681
68.000	2321491.92	201101.00	2321520.00	1191109.08	0.9203	0.6609	0.7693
67.000	2324255.42	203890.00	2324284.00	1188345.58	0.9194	0.6617	0.7695
66.000	2383521.58	217454.00	2383562.00	1129079.42	0.9164	0.6786	0.7797
65.000	2391917.58	220680.00	2391958.00	1120683.42	0.9155	0.6810	0.7810
64.000	2394898.58	223832.00	2394939.00	1117702.42	0.9145	0.6818	0.7812
63.000	2460865.30	238695.00	2460914.00	1051735.70	0.9116	0.7006	0.7923
62.000	2469735.30	242323.00	2469784.00	1042865.70	0.9107	0.7031	0.7935
61.000	2472742.30	245913.00	2472792.00	1039858.70	0.9095	0.7040	0.7937
60.000	2543283.47	262752.00	2543350.00	969317.53	0.9064	0.7240	0.8050
59.000	2552320.97	266991.00	2552388.00	960280.03	0.9053	0.7266	0.8062
58.000	2555375.97	271214.00	2555443.00	957225.03	0.9041	0.7275	0.8062
57.000	2629283.70	291406.00	2629358.00	883317.30	0.9002	0.7485	0.8174
56.000	2638401.70	296380.00	2638475.00	874199.30	0.8990	0.7511	0.8184
55.000	2641353.70	300995.00	2641428.00	871247.30	0.8977	0.7520	0.8184
54.000	2717210.17	325925.00	2717303.00	795390.83	0.8929	0.7736	0.8290
53.000	2725852.17	331663.00	2725945.00	786748.83	0.8915	0.7760	0.8298
52.000	2728606.67	337357.00	2728700.00	783994.33	0.8900	0.7768	0.8295
51.000	2804166.58	367040.00	2804271.00	708434.42	0.8843	0.7983	0.8391
50.000	2812265.08	373810.00	2812369.00	700335.92	0.8827	0.8006	0.8396
49.000	2814924.08	380135.00	2815028.00	697676.92	0.8810	0.8014	0.8393
48.000	2888137.25	415221.00	2888254.00	624463.75	0.8743	0.8222	0.8475
47.000	2895699.25	422744.00	2895816.00	616901.75	0.8726	0.8244	0.8478
46.000	2898059.25	424063.00	2898176.00	614541.75	0.8724	0.8250	0.8480
45.000	2966789.67	441463.00	2966917.00	545811.33	0.8705	0.8446	0.8574
44.000	2973549.67	442692.00	2973678.00	539051.33	0.8704	0.8465	0.8583
43.000	2975783.67	444202.00	2975911.00	536817.33	0.8701	0.8472	0.8585
42.000	3037969.00	463076.00	3038102.00	474632.00	0.8677	0.8649	0.8663
41.000	3043783.00	464603.00	3043916.00	468818.00	0.8676	0.8665	0.8671
40.000	3046031.00	466355.00	3046164.00	466570.00	0.8672	0.8672	0.8672
39.000	3102066.33	486497.00	3102209.00	410534.67	0.8644	0.8831	0.8737
38.000	3107357.33	488263.00	3107500.00	405243.67	0.8642	0.8846	0.8743
37.000	3109341.33	488893.00	3109484.00	403259.67	0.8641	0.8852	0.8745
36.000	3156346.00	489800.00	3156487.00	356255.00	0.8657	0.8986	0.8818
35.000	3160846.00	490524.00	3160988.00	351755.00	0.8657	0.8999	0.8824
34.000	3162950.00	491294.00	3163092.00	349651.00	0.8656	0.9005	0.8827
33.000	3201815.72	492338.00	3201970.00	310785.28	0.8667	0.9115	0.8886
32.000	3205804.22	493129.00	3205959.00	306796.78	0.8667	0.9127	0.8891
31.000	3207884.22	493964.00	3208040.00	304716.78	0.8666	0.9133	0.8893
30.000	3239117.06	495034.00	3239282.00	273483.94	0.8674	0.9221	0.8940
29.000	3242647.56	495973.00	3242813.00	269953.44	0.8673	0.9231	0.8944
28.000	3244908.56	496781.00	3245073.00	267692.44	0.8672	0.9238	0.8946
27.000	3269268.83	498049.00	3269441.00	243332.17	0.8678	0.9307	0.8982
26.000	3272431.83	499094.00	3272603.00	240169.17	0.8677	0.9316	0.8985
25.000	3274713.83	499954.00	3274883.00	237887.17	0.8676	0.9323	0.8988
24.000	3293056.50	501349.00	3293232.00	219544.50	0.8679	0.9375	0.9013
23.000	3295855.50	502495.00	3296030.00	216745.50	0.8677	0.9383	0.9016
22.000	3298209.00	503408.00	3298384.00	214392.00	0.8676	0.9390	0.9019
21.000	3311993.00	505015.00	3312167.00	200608.00	0.8677	0.9429	0.9037
20.000	3314541.00	506294.00	3314715.00	198060.00	0.8675	0.9436	0.9040
19.000	3316900.00	507305.00	3317074.00	195701.00	0.8673	0.9443	0.9042
18.000	3326873.50	509113.00	3327048.00	185727.50	0.8673	0.9471	0.9054
17.000	3329258.50	510505.00	3329433.00	183342.50	0.8671	0.9478	0.9056
16.000	3331598.50	511643.00	3331773.00	181002.50	0.8669	0.9485	0.9058
15.000	3339193.50	513837.00	3339368.00	173407.50	0.8666	0.9506	0.9067
14.000	3341305.50	515382.00	3341479.00	171295.50	0.8664	0.9512	0.9068
13.000	3343691.50	516609.00	3343866.00	168909.50	0.8662	0.9519	0.9070
12.000	3349403.00	518989.00	3349578.00	163198.00	0.8658	0.9535	0.9076
11.000	3351330.00	520672.00	3351505.00	161271.00	0.8655	0.9541	0.9077
10.000	3353678.00	522085.00	3353853.00	158923.00	0.8653	0.9548	0.9078
9.000	3358143.00	524752.00	3358318.00	154458.00	0.8649	0.9560	0.9082
8.000	3359825.00	526548.00	3360000.00	152776.00	0.8645	0.9565	0.9082
7.000	3362046.00	528040.00	3362221.00	150555.00	0.8643	0.9571	0.9083
6.000	3365411.00	530699.00	3365587.00	147190.00	0.8638	0.9581	0.9085
5.000	3367082.00	532687.00	3367257.00	145519.00	0.8634	0.9586	0.9085
4.000	3369132.00	534177.00	3369307.00	143469.00	0.8632	0.9592	0.9086
3.000	3371189.00	536176.00	3371364.00	141412.00	0.8628	0.9597	0.9087
2.000	3372699.00	538283.00	3372874.00	139902.00	0.8624	0.9602	0.9086
1.000	3374670.00	539915.00	3374845.00	137931.00	0.8621	0.9607	0.9087
