#Version RTG Tools 3.8.4 / Core bdba5ea (2017-09-19), ROC output 1.1
#CL vcfeval --baseline=HG002_GRCh37_GIAB_highconf_CG-IllFB-IllGATKHC-Ion-10X-SOLID_CHROM1-22_v.3.3.2_highconf_triophased.vcf.gz --bed-regions=HG002_GRCh37_GIAB_highconf_CG-IllFB-IllGATKHC-Ion-10X-SOLID_CHROM1-22_v.3.3.2_highconf_noinconsistent.bed --calls=ema_out.reformat.vcf.gz --threads=1 --output=ema_out --template=../hg19_new.sdf
#total baseline variants: 3512601
#total call variants: 3792002
#score field: GQ (FORMAT)
#score	true_positives_baseline	false_positives	true_positives_call	false_negatives	precision	sensitivity	f_measure
99.000	1922334.00	45634.00	1922348.00	1590267.00	0.9768	0.5473	0.7015
98.000	1926750.00	46409.00	1926764.00	1585851.00	0.9765	0.5485	0.7025
97.000	1930738.50	47094.00	1930753.00	1581862.50	0.9762	0.5497	0.7033
96.000	1941788.50	50288.00	1941804.00	1570812.50	0.9748	0.5528	0.7055
95.000	1946243.50	51166.00	1946259.00	1566357.50	0.9744	0.5541	0.7064
94.000	1950296.50	51858.00	1950312.00	1562304.50	0.9741	0.5552	0.7073
93.000	1962608.50	55704.00	1962625.00	1549992.50	0.9724	0.5587	0.7097
92.000	1967077.50	56717.00	1967094.00	1545523.50	0.9720	0.5600	0.7106
91.000	1970659.50	57515.00	1970676.00	1541941.50	0.9716	0.5610	0.7113
90.000	1984541.50	62138.00	1984561.00	1528059.50	0.9696	0.5650	0.7140
89.000	1989029.50	63258.00	1989049.00	1523571.50	0.9692	0.5663	0.7148
88.000	1992436.50	64272.00	1992454.00	1520164.50	0.9688	0.5672	0.7155
87.000	2008293.50	69510.00	2008312.00	1504307.50	0.9665	0.5717	0.7185
86.000	2013013.50	70870.00	2013032.00	1499587.50	0.9660	0.5731	0.7194
85.000	2016273.50	72074.00	2016292.00	1496327.50	0.9655	0.5740	0.7200
84.000	2035280.17	77732.00	2035302.00	1477320.83	0.9632	0.5794	0.7236
83.000	2040136.17	79108.00	2040158.00	1472464.83	0.9627	0.5808	0.7245
82.000	2043037.17	80354.00	2043059.00	1469563.83	0.9622	0.5816	0.7250
81.000	2065462.33	86652.00	2065488.00	1447138.67	0.9597	0.5880	0.7292
80.000	2070688.33	88324.00	2070714.00	1441912.67	0.9591	0.5895	0.7302
79.000	2073581.33	89863.00	2073607.00	1439019.67	0.9585	0.5903	0.7306
