#Version RTG Tools 3.8.4 / Core bdba5ea (2017-09-19), ROC output 1.1
#CL vcfeval --baseline=HG001_GRCh37_GIAB_highconf_CG-IllFB-IllGATKHC-Ion-10X-SOLID_CHROM1-X_v.3.3.2_highconf_PGandRTGphasetransfer.vcf.gz --evaluation-regions=HG001_GRCh37_GIAB_highconf_CG-IllFB-IllGATKHC-Ion-10X-SOLID_CHROM1-X_v.3.3.2_highconf_nosomaticdel.bed --calls=bwa_out.reformat.vcf.gz --threads=1 --output=bwa_out --template=hg19_new.sdf --output-mode=roc-only --no-gzip
#total baseline variants: 3690861
#total call variants: 4102737
#score field: GQ (FORMAT)
#score	true_positives_baseline	false_positives	true_positives_call	false_negatives	precision	sensitivity	f_measure
99.000	2304412.83	116017.00	2304432.00	1386448.17	0.9521	0.6244	0.7541
98.000	2309132.83	116901.00	2309152.00	1381728.17	0.9518	0.6256	0.7550
97.000	2310941.33	117582.00	2310960.00	1379919.67	0.9516	0.6261	0.7553
96.000	2346000.33	124046.00	2346013.00	1344860.67	0.9498	0.6356	0.7616
95.000	2351112.33	124960.00	2351125.00	1339748.67	0.9495	0.6370	0.7625
94.000	2352892.33	125743.00	2352905.00	1337968.67	0.9493	0.6375	0.7628
93.000	2393073.33	132687.00	2393088.00	1297787.67	0.9475	0.6484	0.7699
92.000	2398616.33	133745.00	2398631.00	1292244.67	0.9472	0.6499	0.7709
91.000	2400410.33	134634.00	2400424.00	1290450.67	0.9469	0.6504	0.7711
90.000	2445521.50	142395.00	2445540.00	1245339.50	0.9450	0.6626	0.7790
89.000	2451245.50	143581.00	2451264.00	1239615.50	0.9447	0.6641	0.7799
88.000	2453025.50	144536.00	2453044.00	1237835.50	0.9444	0.6646	0.7802
87.000	2503573.83	152765.00	2503594.00	1187287.17	0.9425	0.6783	0.7889
86.000	2509732.83	154012.00	2509753.00	1181128.17	0.9422	0.6800	0.7899
85.000	2511458.33	155041.00	2511478.00	1179402.67	0.9419	0.6805	0.7901
84.000	2566937.00	163940.00	2566956.00	1123924.00	0.9400	0.6955	0.7995
83.000	2573217.00	165380.00	2573236.00	1117644.00	0.9396	0.6972	0.8004
82.000	2574867.00	166531.00	2574886.00	1115994.00	0.9393	0.6976	0.8006
81.000	2635388.00	176023.00	2635408.00	1055473.00	0.9374	0.7140	0.8106
80.000	2641805.00	177591.00	2641825.00	1049056.00	0.9370	0.7158	0.8116
79.000	2643427.00	178794.00	2643447.00	1047434.00	0.9366	0.7162	0.8117
78.000	2707894.97	189083.00	2707930.00	982966.03	0.9347	0.7337	0.8221
77.000	2714568.97	190829.00	2714604.00	976292.03	0.9343	0.7355	0.8231
76.000	2716316.97	192171.00	2716352.00	974544.03	0.9339	0.7360	0.8232
75.000	2784668.67	203064.00	2784715.00	906192.33	0.9320	0.7545	0.8339
74.000	2791209.67	205126.00	2791256.00	899651.33	0.9315	0.7562	0.8348
73.000	2792908.67	206633.00	2792955.00	897952.33	0.9311	0.7567	0.8349
72.000	2863490.73	218670.00	2863540.00	827370.27	0.9291	0.7758	0.8456
71.000	2870069.73	220913.00	2870119.00	820791.27	0.9285	0.7776	0.8464
70.000	2871752.73	222710.00	2871801.00	819108.27	0.9280	0.7781	0.8465
69.000	2943003.17	235410.00	2943060.00	747857.83	0.9259	0.7974	0.8569
68.000	2949440.17	237875.00	2949497.00	741420.83	0.9254	0.7991	0.8576
67.000	2951099.67	239800.00	2951157.00	739761.33	0.9249	0.7996	0.8577
66.000	3022063.10	253958.00	3022123.00	668797.90	0.9225	0.8188	0.8676
65.000	3028319.10	256700.00	3028379.00	662541.90	0.9219	0.8205	0.8682
64.000	3029984.10	258842.00	3030044.00	660876.90	0.9213	0.8209	0.8682
63.000	3098841.73	274020.00	3098901.00	592019.27	0.9188	0.8396	0.8774
