#Version RTG Tools 3.8.4 / Core bdba5ea (2017-09-19), ROC output 1.1
#CL vcfeval --baseline=HG001_GRCh37_GIAB_highconf_CG-IllFB-IllGATKHC-Ion-10X-SOLID_CHROM1-X_v.3.3.2_highconf_PGandRTGphasetransfer.vcf.gz --evaluation-regions=HG001_GRCh37_GIAB_highconf_CG-IllFB-IllGATKHC-Ion-10X-SOLID_CHROM1-X_v.3.3.2_highconf_nosomaticdel.bed --calls=ema_out.v2.reformat.vcf.gz --output=ema_out_v2 --template=../hg19_new.sdf
#total baseline variants: 3690861
#total call variants: 3921986
#score field: GQ (FORMAT)
#score	true_positives_baseline	false_positives	true_positives_call	false_negatives	precision	sensitivity	f_measure
99.000	3569408.67	132061.00	3569512.00	121452.33	0.9643	0.9671	0.9657
98.000	3570850.67	134641.00	3570954.00	120010.33	0.9637	0.9675	0.9656
97.000	3571771.67	135911.00	3571875.00	119089.33	0.9633	0.9677	0.9655
96.000	3574493.17	137482.00	3574598.00	116367.83	0.9630	0.9685	0.9657
95.000	3575745.17	140176.00	3575850.00	115115.83	0.9623	0.9688	0.9655
94.000	3576642.17	141521.00	3576747.00	114218.83	0.9619	0.9691	0.9655
93.000	3579064.17	143170.00	3579170.00	111796.83	0.9615	0.9697	0.9656
92.000	3580256.17	146096.00	3580362.00	110604.83	0.9608	0.9700	0.9654
91.000	3581103.17	147529.00	3581209.00	109757.83	0.9604	0.9703	0.9653
90.000	3583284.17	149217.00	3583390.00	107576.83	0.9600	0.9709	0.9654
89.000	3584332.67	151949.00	3584439.00	106528.33	0.9593	0.9711	0.9652
88.000	3585151.17	153319.00	3585258.00	105709.83	0.9590	0.9714	0.9651
87.000	3587127.17	155212.00	3587234.00	103733.83	0.9585	0.9719	0.9652
86.000	3588171.17	158253.00	3588278.00	102689.83	0.9578	0.9722	0.9649
85.000	3588959.67	159782.00	3589067.00	101901.33	0.9574	0.9724	0.9648
84.000	3590640.67	161582.00	3590747.00	100220.33	0.9569	0.9728	0.9648
83.000	3591604.67	164469.00	3591711.00	99256.33	0.9562	0.9731	0.9646
82.000	3592306.67	165898.00	3592413.00	98554.33	0.9559	0.9733	0.9645
81.000	3593801.67	167894.00	3593908.00	97059.33	0.9554	0.9737	0.9644
80.000	3594643.67	170895.00	3594750.00	96217.33	0.9546	0.9739	0.9642
79.000	3595318.67	172513.00	3595425.00	95542.33	0.9542	0.9741	0.9641
78.000	3596653.67	174451.00	3596761.00	94207.33	0.9537	0.9745	0.9640
77.000	3597423.67	177622.00	3597531.00	93437.33	0.9529	0.9747	0.9637
76.000	3598066.67	179251.00	3598174.00	92794.33	0.9525	0.9749	0.9636
75.000	3599414.17	181204.00	3599521.00	91446.83	0.9521	0.9752	0.9635
74.000	3600179.67	184730.00	3600287.00	90681.33	0.9512	0.9754	0.9632
73.000	3600808.67	186377.00	3600916.00	90052.33	0.9508	0.9756	0.9630
72.000	3601973.17	188353.00	3602081.00	88887.83	0.9503	0.9759	0.9629
71.000	3602691.17	191946.00	3602799.00	88169.83	0.9494	0.9761	0.9626
70.000	3603276.17	193722.00	3603384.00	87584.83	0.9490	0.9763	0.9624
69.000	3604347.67	195820.00	3604456.00	86513.33	0.9485	0.9766	0.9623
68.000	3605054.67	199483.00	3605163.00	85806.33	0.9476	0.9768	0.9619
67.000	3605640.67	201299.00	3605749.00	85220.33	0.9471	0.9769	0.9618
66.000	3606600.17	203565.00	3606709.00	84260.83	0.9466	0.9772	0.9616
65.000	3607193.17	207313.00	3607302.00	83667.83	0.9457	0.9773	0.9612
64.000	3607756.67	209202.00	3607866.00	83104.33	0.9452	0.9775	0.9611
63.000	3608632.67	211532.00	3608742.00	82228.33	0.9446	0.9777	0.9609
62.000	3609214.67	215402.00	3609324.00	81646.33	0.9437	0.9779	0.9605
61.000	3609753.67	217373.00	3609863.00	81107.33	0.9432	0.9780	0.9603
60.000	3610615.67	219827.00	3610725.00	80245.33	0.9426	0.9783	0.9601
