#Version RTG Tools 3.8.4 / Core bdba5ea (2017-09-19), ROC output 1.1
#CL vcfeval --baseline=HG001_GRCh37_GIAB_highconf_CG-IllFB-IllGATKHC-Ion-10X-SOLID_CHROM1-X_v.3.3.2_highconf_PGandRTGphasetransfer.vcf.gz --evaluation-regions=HG001_GRCh37_GIAB_highconf_CG-IllFB-IllGATKHC-Ion-10X-SOLID_CHROM1-X_v.3.3.2_highconf_nosomaticdel.bed --calls=lr_out.v2.reformat.vcf.gz --output=lr_out_v2 --template=../hg19_new.sdf
#total baseline variants: 3690861
#total call variants: 4082232
#score field: GQ (FORMAT)
#score	true_positives_baseline	false_positives	true_positives_call	false_negatives	precision	sensitivity	f_measure
99.000	3567988.67	229705.00	3568088.00	122872.33	0.9395	0.9667	0.9529
98.000	3569325.67	234360.00	3569425.00	121535.33	0.9384	0.9671	0.9525
97.000	3570270.67	235825.00	3570370.00	120590.33	0.9380	0.9673	0.9525
96.000	3572668.17	237828.00	3572768.00	118192.83	0.9376	0.9680	0.9525
95.000	3573903.67	242642.00	3574004.00	116957.33	0.9364	0.9683	0.9521
94.000	3574751.67	244149.00	3574852.00	116109.33	0.9361	0.9685	0.9520
93.000	3576834.67	246282.00	3576935.00	114026.33	0.9356	0.9691	0.9520
92.000	3577968.67	251084.00	3578069.00	112892.33	0.9344	0.9694	0.9516
91.000	3578771.67	252742.00	3578872.00	112089.33	0.9340	0.9696	0.9515
90.000	3580776.17	255022.00	3580877.00	110084.83	0.9335	0.9702	0.9515
89.000	3581841.17	260165.00	3581942.00	109019.83	0.9323	0.9705	0.9510
88.000	3582633.67	261883.00	3582735.00	108227.33	0.9319	0.9707	0.9509
87.000	3584404.17	264284.00	3584507.00	106456.83	0.9313	0.9712	0.9508
86.000	3585379.67	269392.00	3585483.00	105481.33	0.9301	0.9714	0.9503
85.000	3586115.67	271150.00	3586219.00	104745.33	0.9297	0.9716	0.9502
