#Version RTG Tools 3.8.4 / Core bdba5ea (2017-09-19), ROC output 1.1
#CL vcfeval --baseline=HG004_GRCh37_GIAB_highconf_CG-IllFB-IllGATKHC-Ion-10X_CHROM1-22_v.3.3.2_highconf.vcf.gz --evaluation-regions=HG004_GRCh37_GIAB_highconf_CG-IllFB-IllGATKHC-Ion-10X_CHROM1-22_v.3.3.2_highconf_noinconsistent.bed --calls=lr_out.reformat.vcf.gz --output=lr_out --template=../hg19_new.sdf
#total baseline variants: 3506901
#total call variants: 4071029
#score field: GQ (FORMAT)
#score	true_positives_baseline	false_positives	true_positives_call	false_negatives	precision	sensitivity	f_measure
99.000	2184195.32	130013.00	2184231.00	1322705.68	0.9438	0.6228	0.7504
98.000	2191440.32	131421.00	2191476.00	1315460.68	0.9434	0.6249	0.7518
97.000	2194117.65	132604.00	2194154.00	1312783.35	0.9430	0.6257	0.7522
96.000	2222038.65	140910.00	2222082.00	1284862.35	0.9404	0.6336	0.7571
95.000	2229783.15	142395.00	2229828.00	1277117.85	0.9400	0.6358	0.7585
94.000	2232601.15	143621.00	2232646.00	1274299.85	0.9396	0.6366	0.7590
93.000	2263704.40	152714.00	2263760.00	1243196.60	0.9368	0.6455	0.7643
92.000	2272090.90	154396.00	2272146.00	1234810.10	0.9364	0.6479	0.7659
91.000	2274887.90	155729.00	2274943.00	1232013.10	0.9359	0.6487	0.7663
90.000	2309839.90	165771.00	2309898.00	1197061.10	0.9330	0.6587	0.7722
89.000	2318599.40	167637.00	2318659.00	1188301.60	0.9326	0.6612	0.7738
88.000	2321481.90	169162.00	2321541.00	1185419.10	0.9321	0.6620	0.7741
87.000	2359639.40	180079.00	2359700.00	1147261.60	0.9291	0.6729	0.7805
86.000	2368749.15	182286.00	2368810.00	1138151.85	0.9285	0.6755	0.7820
85.000	2371492.48	183981.00	2371553.00	1135408.52	0.9280	0.6762	0.7824
84.000	2413011.48	195778.00	2413079.00	1093889.52	0.9250	0.6881	0.7891
83.000	2422476.98	198053.00	2422545.00	1084424.02	0.9244	0.6908	0.7907
82.000	2425151.98	199900.00	2425220.00	1081749.02	0.9239	0.6915	0.7910
81.000	2470213.82	212539.00	2470286.00	1036687.18	0.9208	0.7044	0.7982
80.000	2480115.82	214966.00	2480188.00	1026785.18	0.9202	0.7072	0.7998
79.000	2482866.82	216977.00	2482939.00	1024034.18	0.9196	0.7080	0.8001
78.000	2530846.65	231180.00	2530921.00	976054.35	0.9163	0.7217	0.8074
77.000	2540671.65	234004.00	2540746.00	966229.35	0.9157	0.7245	0.8089
76.000	2543465.05	236387.00	2543540.00	963435.95	0.9150	0.7253	0.8092
75.000	2594537.22	252037.00	2594615.00	912363.78	0.9115	0.7398	0.8167
74.000	2604617.22	255276.00	2604695.00	902283.78	0.9107	0.7427	0.8182
73.000	2607473.22	257820.00	2607551.00	899427.78	0.9100	0.7435	0.8184
72.000	2660014.05	274900.00	2660099.00	846886.95	0.9063	0.7585	0.8259
71.000	2670081.95	278454.00	2670168.00	836819.05	0.9056	0.7614	0.8272
70.000	2672992.35	281232.00	2673078.00	833908.65	0.9048	0.7622	0.8274
69.000	2726700.68	299637.00	2726795.00	780200.32	0.9010	0.7775	0.8347
68.000	2736130.08	303403.00	2736226.00	770770.92	0.9002	0.7802	0.8359
67.000	2738983.75	306486.00	2739079.00	767917.25	0.8994	0.7810	0.8360
66.000	2792815.92	326812.00	2792917.00	714085.08	0.8952	0.7964	0.8429
65.000	2802196.42	331099.00	2802297.00	704704.58	0.8943	0.7991	0.8440
64.000	2805019.42	334641.00	2805121.00	701881.58	0.8934	0.7999	0.8441
63.000	2857625.08	356659.00	2857733.00	649275.92	0.8890	0.8149	0.8503
62.000	2866403.58	361081.00	2866513.00	640497.42	0.8881	0.8174	0.8513
61.000	2869309.58	364919.00	2869419.00	637591.42	0.8872	0.8182	0.8513
60.000	2920357.75	388947.00	2920477.00	586543.25	0.8825	0.8327	0.8569
59.000	2928570.25	393793.00	2928690.00	578330.75	0.8815	0.8351	0.8577
58.000	2931639.25	398022.00	2931759.00	575261.75	0.8805	0.8360	0.8576
57.000	2980315.92	424833.00	2980451.00	526585.08	0.8752	0.8498	0.8624
56.000	2987904.42	430346.00	2988040.00	518996.58	0.8741	0.8520	0.8629
55.000	2990879.42	435166.00	2991015.00	516021.58	0.8730	0.8529	0.8628
54.000	3035502.58	464539.00	3035645.00	471398.42	0.8673	0.8656	0.8664
53.000	3042573.58	470572.00	3042716.00	464327.42	0.8661	0.8676	0.8668
52.000	3045563.58	475846.00	3045707.00	461337.42	0.8649	0.8684	0.8667
51.000	3085967.25	508283.00	3086112.00	420933.75	0.8586	0.8800	0.8691
50.000	3092246.25	514969.00	3092391.00	414654.75	0.8572	0.8818	0.8693
49.000	3095330.37	520973.00	3095474.00	411570.63	0.8559	0.8826	0.8691
48.000	3131449.60	555982.00	3131604.00	375451.40	0.8492	0.8929	0.8705
47.000	3137005.93	563160.00	3137160.00	369895.07	0.8478	0.8945	0.8705
46.000	3140049.43	564536.00	3140204.00	366851.57	0.8476	0.8954	0.8709
45.000	3171681.81	583522.00	3171845.00	335219.19	0.8446	0.9044	0.8735
44.000	3176517.81	584858.00	3176681.00	330383.19	0.8445	0.9058	0.8741
43.000	3179528.81	586443.00	3179692.00	327372.19	0.8443	0.9066	0.8744
42.000	3206731.21	606736.00	3206907.00	300169.79	0.8409	0.9144	0.8761
41.000	3211010.21	608265.00	3211186.00	295890.79	0.8407	0.9156	0.8766
40.000	3213960.21	610021.00	3214136.00	292940.79	0.8405	0.9165	0.8768
39.000	3236632.71	631753.00	3236817.00	270268.29	0.8367	0.9229	0.8777
38.000	3240487.71	633468.00	3240672.00	266413.29	0.8365	0.9240	0.8781
37.000	3243402.71	634167.00	3243588.00	263498.29	0.8365	0.9249	0.8784
36.000	3261949.71	635089.00	3262137.00	244951.29	0.8370	0.9302	0.8811
