#Version RTG Tools 3.8.4 / Core bdba5ea (2017-09-19), ROC output 1.1
#CL vcfeval --baseline=HG003_GRCh37_GIAB_highconf_CG-IllFB-IllGATKHC-Ion-10X_CHROM1-22_v.3.3.2_highconf.vcf.gz --evaluation-regions=HG003_GRCh37_GIAB_highconf_CG-IllFB-IllGATKHC-Ion-10X_CHROM1-22_v.3.3.2_highconf_noinconsistent.bed --calls=bwa_out.reformat.vcf.gz --output=bwa_out --template=../hg19_new.sdf
#total baseline variants: 3471708
#total call variants: 3949502
#score field: GQ (FORMAT)
#score	true_positives_baseline	false_positives	true_positives_call	false_negatives	precision	sensitivity	f_measure
99.000	1914464.17	93208.00	1914479.00	1557243.83	0.9536	0.5514	0.6988
98.000	1919003.17	94113.00	1919018.00	1552704.83	0.9533	0.5528	0.6998
97.000	1922626.17	94903.00	1922641.00	1549081.83	0.9530	0.5538	0.7005
96.000	1936538.33	101170.00	1936553.00	1535169.67	0.9504	0.5578	0.7030
95.000	1941365.33	102301.00	1941380.00	1530342.67	0.9499	0.5592	0.7040
94.000	1944687.33	103192.00	1944702.00	1527020.67	0.9496	0.5602	0.7046
93.000	1960492.83	110488.00	1960510.00	1511215.17	0.9466	0.5647	0.7074
92.000	1965410.33	111686.00	1965427.00	1506297.67	0.9462	0.5661	0.7084
91.000	1968683.33	112686.00	1968700.00	1503024.67	0.9459	0.5671	0.7090
90.000	1987069.50	121343.00	1987089.00	1484638.50	0.9424	0.5724	0.7122
89.000	1992220.50	122822.00	1992240.00	1479487.50	0.9419	0.5738	0.7132
88.000	1995316.50	123981.00	1995336.00	1476391.50	0.9415	0.5747	0.7138
87.000	2016625.83	133470.00	2016650.00	1455082.17	0.9379	0.5809	0.7174
86.000	2022315.33	135071.00	2022340.00	1449392.67	0.9374	0.5825	0.7185
85.000	2025211.83	136456.00	2025237.00	1446496.17	0.9369	0.5833	0.7190
84.000	2050358.83	147254.00	2050386.00	1421349.17	0.9330	0.5906	0.7233
83.000	2056186.83	148920.00	2056214.00	1415521.17	0.9325	0.5923	0.7244
82.000	2058912.83	150372.00	2058940.00	1412795.17	0.9319	0.5931	0.7248
81.000	2088389.83	161686.00	2088417.00	1383318.17	0.9281	0.6015	0.7300
80.000	2094603.83	163690.00	2094631.00	1377104.17	0.9275	0.6033	0.7311
79.000	2097428.83	165413.00	2097456.00	1374279.17	0.9269	0.6041	0.7315
78.000	2132555.08	177773.00	2132586.00	1339152.92	0.9231	0.6143	0.7376
77.000	2139232.08	179893.00	2139263.00	1332475.92	0.9224	0.6162	0.7388
76.000	2141992.08	181899.00	2142025.00	1329715.92	0.9217	0.6170	0.7392
75.000	2183616.00	195377.00	2183651.00	1288092.00	0.9179	0.6290	0.7464
74.000	2190747.00	197846.00	2190782.00	1280961.00	0.9172	0.6310	0.7477
73.000	2193415.00	200116.00	2193450.00	1278293.00	0.9164	0.6318	0.7479
72.000	2241341.92	214234.00	2241376.00	1230366.08	0.9128	0.6456	0.7563
71.000	2249018.25	217040.00	2249053.00	1222689.75	0.9120	0.6478	0.7575
70.000	2251806.75	219579.00	2251842.00	1219901.25	0.9112	0.6486	0.7578
69.000	2306477.50	234799.00	2306518.00	1165230.50	0.9076	0.6644	0.7672
68.000	2314667.00	237786.00	2314708.00	1157041.00	0.9068	0.6667	0.7685
67.000	2317542.00	240564.00	2317583.00	1154166.00	0.9060	0.6676	0.7687
66.000	2377856.33	256791.00	2377903.00	1093851.67	0.9025	0.6849	0.7788
65.000	2386309.33	260140.00	2386357.00	1085398.67	0.9017	0.6874	0.7801
64.000	2389284.33	263172.00	2389332.00	1082423.67	0.9008	0.6882	0.7803
63.000	2455012.00	281140.00	2455075.00	1016696.00	0.8973	0.7071	0.7909
62.000	2463731.00	284922.00	2463795.00	1007977.00	0.8963	0.7097	0.7922
61.000	2466651.00	288510.00	2466715.00	1005057.00	0.8953	0.7105	0.7923
60.000	2536925.50	309307.00	2536998.00	934782.50	0.8913	0.7307	0.8031
59.000	2545869.50	313559.00	2545943.00	925838.50	0.8903	0.7333	0.8042
58.000	2548900.50	317570.00	2548974.00	922807.50	0.8892	0.7342	0.8043
57.000	2621417.42	341922.00	2621498.00	850290.58	0.8846	0.7551	0.8147
56.000	2630200.42	346866.00	2630282.00	841507.58	0.8835	0.7576	0.8157
55.000	2633173.42	351546.00	2633255.00	838534.58	0.8822	0.7585	0.8157
54.000	2706488.42	380482.00	2706580.00	765219.58	0.8767	0.7796	0.8253
53.000	2714745.42	386147.00	2714837.00	756962.58	0.8755	0.7820	0.8261
52.000	2717488.42	391622.00	2717580.00	754219.58	0.8740	0.7828	0.8259
51.000	2790268.58	425547.00	2790367.00	681439.42	0.8677	0.8037	0.8345
50.000	2798148.58	432007.00	2798247.00	673559.42	0.8663	0.8060	0.8350
49.000	2800829.08	438259.00	2800928.00	670878.92	0.8647	0.8068	0.8347
48.000	2870778.00	478111.00	2870892.00	600930.00	0.8572	0.8269	0.8418
47.000	2878030.00	485638.00	2878145.00	593678.00	0.8556	0.8290	0.8421
46.000	2880343.00	487086.00	2880458.00	591365.00	0.8554	0.8297	0.8423
45.000	2945311.00	507813.00	2945442.00	526397.00	0.8529	0.8484	0.8507
44.000	2951656.00	509074.00	2951787.00	520052.00	0.8529	0.8502	0.8516
43.000	2953998.00	510682.00	2954129.00	517710.00	0.8526	0.8509	0.8517
42.000	3013074.89	533684.00	3013220.00	458633.11	0.8495	0.8679	0.8586
41.000	3018628.89	535184.00	3018774.00	453079.11	0.8494	0.8695	0.8593
40.000	3021068.89	536977.00	3021214.00	450639.11	0.8491	0.8702	0.8595
