#Version RTG Tools 3.8.4 / Core bdba5ea (2017-09-19), ROC output 1.1
#CL vcfeval --baseline=HG003_GRCh37_GIAB_highconf_CG-IllFB-IllGATKHC-Ion-10X_CHROM1-22_v.3.3.2_highconf.vcf.gz --evaluation-regions=HG003_GRCh37_GIAB_highconf_CG-IllFB-IllGATKHC-Ion-10X_CHROM1-22_v.3.3.2_highconf_noinconsistent.bed --calls=ema_out.reformat.vcf.gz --output=ema_out --template=../hg19_new.sdf
#total baseline variants: 3471708
#total call variants: 3802493
#score field: GQ (FORMAT)
#score	true_positives_baseline	false_positives	true_positives_call	false_negatives	precision	sensitivity	f_measure
99.000	1889498.33	56521.00	1889526.00	1582209.67	0.9710	0.5443	0.6975
98.000	1893839.33	57324.00	1893867.00	1577868.67	0.9706	0.5455	0.6985
97.000	1897693.33	57997.00	1897721.00	1574014.67	0.9703	0.5466	0.6993
96.000	1909720.83	62101.00	1909751.00	1561987.17	0.9685	0.5501	0.7016
95.000	1914281.83	63002.00	1914312.00	1557426.17	0.9681	0.5514	0.7026
94.000	1918036.33	63748.00	1918066.00	1553671.67	0.9678	0.5525	0.7034
93.000	1931592.83	68451.00	1931624.00	1540115.17	0.9658	0.5564	0.7060
92.000	1936235.83	69437.00	1936267.00	1535472.17	0.9654	0.5577	0.7070
91.000	1939690.33	70338.00	1939721.00	1532017.67	0.9650	0.5587	0.7077
90.000	1955179.83	76019.00	1955213.00	1516528.17	0.9626	0.5632	0.7106
89.000	1959908.33	77185.00	1959941.00	1511799.67	0.9621	0.5645	0.7116
88.000	1963172.33	78178.00	1963205.00	1508535.67	0.9617	0.5655	0.7122
87.000	1981111.33	84398.00	1981147.00	1490596.67	0.9591	0.5706	0.7156
86.000	1986068.33	85687.00	1986104.00	1485639.67	0.9586	0.5721	0.7165
85.000	1989147.83	86845.00	1989184.00	1482560.17	0.9582	0.5730	0.7171
84.000	2010215.83	93707.00	2010255.00	1461492.17	0.9555	0.5790	0.7211
83.000	2015317.83	95081.00	2015357.00	1456390.17	0.9549	0.5805	0.7221
82.000	2018115.83	96321.00	2018155.00	1453592.17	0.9544	0.5813	0.7225
81.000	2043295.50	104196.00	2043334.00	1428412.50	0.9515	0.5886	0.7273
80.000	2048710.50	105845.00	2048749.00	1422997.50	0.9509	0.5901	0.7283
79.000	2051544.50	107390.00	2051583.00	1420163.50	0.9503	0.5909	0.7287
78.000	2082506.00	115642.00	2082547.00	1389202.00	0.9474	0.5999	0.7346
77.000	2088310.00	117501.00	2088350.00	1383398.00	0.9467	0.6015	0.7356
76.000	2090980.00	119275.00	2091020.00	1380728.00	0.9460	0.6023	0.7360
75.000	2127886.33	128519.00	2127929.00	1343821.67	0.9430	0.6129	0.7430
74.000	2134334.33	130649.00	2134377.00	1337373.67	0.9423	0.6148	0.7441
73.000	2137049.33	132713.00	2137093.00	1334658.67	0.9415	0.6156	0.7444
72.000	2181669.00	142333.00	2181715.00	1290039.00	0.9388	0.6284	0.7529
71.000	2188267.33	144719.00	2188314.00	1283440.67	0.9380	0.6303	0.7540
70.000	2190979.83	146946.00	2191027.00	1280728.17	0.9371	0.6311	0.7543
69.000	2242616.00	157224.00	2242663.00	1229092.00	0.9345	0.6460	0.7639
68.000	2249964.50	159805.00	2250012.00	1221743.50	0.9337	0.6481	0.7651
67.000	2252892.50	162254.00	2252940.00	1218815.50	0.9328	0.6489	0.7654
66.000	2311367.50	173139.00	2311421.00	1160340.50	0.9303	0.6658	0.7761
65.000	2319007.50	176015.00	2319061.00	1152700.50	0.9295	0.6680	0.7773
64.000	2321974.50	178869.00	2322029.00	1149733.50	0.9285	0.6688	0.7775
63.000	2386881.00	191283.00	2386951.00	1084827.00	0.9258	0.6875	0.7891
62.000	2395032.00	194567.00	2395103.00	1076676.00	0.9249	0.6899	0.7903
61.000	2397999.00	197818.00	2398070.00	1073709.00	0.9238	0.6907	0.7904
60.000	2468288.42	212230.00	2468370.00	1003419.58	0.9208	0.7110	0.8024
59.000	2476677.92	215881.00	2476761.00	995030.08	0.9198	0.7134	0.8036
58.000	2479730.42	219724.00	2479814.00	991977.58	0.9186	0.7143	0.8037
57.000	2555011.92	236973.00	2555103.00	916696.08	0.9151	0.7360	0.8158
56.000	2563446.92	241370.00	2563539.00	908261.08	0.9139	0.7384	0.8168
55.000	2566396.42	245625.00	2566489.00	905311.58	0.9127	0.7392	0.8168
54.000	2643588.50	266815.00	2643684.00	828119.50	0.9083	0.7615	0.8284
53.000	2651866.50	271807.00	2651962.00	819841.50	0.9070	0.7639	0.8293
52.000	2654598.50	277032.00	2654695.00	817109.50	0.9055	0.7646	0.8291
51.000	2732592.50	302540.00	2732699.00	739115.50	0.9003	0.7871	0.8399
50.000	2740326.50	308343.00	2740434.00	731381.50	0.8989	0.7893	0.8405
49.000	2743009.00	314283.00	2743117.00	728699.00	0.8972	0.7901	0.8403
48.000	2819798.50	344622.00	2819916.00	651909.50	0.8911	0.8122	0.8498
47.000	2826959.00	351515.00	2827077.00	644749.00	0.8894	0.8143	0.8502
46.000	2829143.00	352837.00	2829261.00	642565.00	0.8891	0.8149	0.8504
45.000	2901950.83	368822.00	2902076.00	569757.17	0.8872	0.8359	0.8608
