#Version RTG Tools 3.8.4 / Core bdba5ea (2017-09-19), ROC output 1.1
#CL vcfeval --baseline=HG002_GRCh37_GIAB_highconf_CG-IllFB-IllGATKHC-Ion-10X-SOLID_CHROM1-22_v.3.3.2_highconf_triophased.vcf.gz --bed-regions=HG002_GRCh37_GIAB_highconf_CG-IllFB-IllGATKHC-Ion-10X-SOLID_CHROM1-22_v.3.3.2_highconf_noinconsistent.bed --calls=lr_out.reformat.vcf.gz --threads=1 --output=lr_out --template=../hg19_new.sdf
#total baseline variants: 3512601
#total call variants: 3998339
#score field: GQ (FORMAT)
#score	true_positives_baseline	false_positives	true_positives_call	false_negatives	precision	sensitivity	f_measure
99.000	1948401.33	84141.00	1948420.00	1564199.67	0.9586	0.5547	0.7027
98.000	1953011.33	85210.00	1953030.00	1559589.67	0.9582	0.5560	0.7037
97.000	1956813.33	86067.00	1956832.00	1555787.67	0.9579	0.5571	0.7045
96.000	1969804.33	92202.00	1969825.00	1542796.67	0.9553	0.5608	0.7067
95.000	1974672.00	93465.00	1974694.00	1537929.00	0.9548	0.5622	0.7077
94.000	1978313.00	94392.00	1978335.00	1534288.00	0.9545	0.5632	0.7084
93.000	1992866.50	101328.00	1992888.00	1519734.50	0.9516	0.5673	0.7109
92.000	1997897.50	102643.00	1997919.00	1514703.50	0.9511	0.5688	0.7119
91.000	2001286.50	103738.00	2001308.00	1511314.50	0.9507	0.5697	0.7125
90.000	2018313.50	111812.00	2018335.00	1494287.50	0.9475	0.5746	0.7154
89.000	2023743.50	113332.00	2023765.00	1488857.50	0.9470	0.5761	0.7164
88.000	2027092.50	114552.00	2027112.00	1485508.50	0.9465	0.5771	0.7170
87.000	2046754.50	123786.00	2046775.00	1465846.50	0.9430	0.5827	0.7203
86.000	2052491.00	125506.00	2052512.00	1460110.00	0.9424	0.5843	0.7214
85.000	2055650.00	126962.00	2055671.00	1456951.00	0.9418	0.5852	0.7219
84.000	2078636.67	137122.00	2078660.00	1433964.33	0.9381	0.5918	0.7257
83.000	2084805.67	139043.00	2084829.00	1427795.33	0.9375	0.5935	0.7269
82.000	2087786.67	140659.00	2087810.00	1424814.33	0.9369	0.5944	0.7273
81.000	2115257.00	151746.00	2115281.00	1397344.00	0.9331	0.6022	0.7320
80.000	2121739.50	153911.00	2121763.00	1390861.50	0.9324	0.6040	0.7331
79.000	2124730.50	155723.00	2124754.00	1387870.50	0.9317	0.6049	0.7335
78.000	2157596.00	167477.00	2157622.00	1355005.00	0.9280	0.6142	0.7392
77.000	2164720.00	169899.00	2164746.00	1347881.00	0.9272	0.6163	0.7404
76.000	2167515.00	172163.00	2167541.00	1345086.00	0.9264	0.6171	0.7407
